Average,Knot,Lengths
0.28043636666666666,3_1,150
0.28182830000000014,3_1,150
0.2831661333333332,3_1,150
0.2844752,3_1,150
0.28572909999999974,3_1,150
0.2869576666666668,3_1,150
0.28814173333333326,3_1,150
0.28929479999999985,3_1,150
0.2903944000000001,3_1,150
0.29146453333333333,3_1,150
0.2924805666666665,3_1,150
0.2934689333333334,3_1,150
0.2943990000000002,3_1,150
0.29529713333333335,3_1,150
0.29613460000000014,3_1,150
0.2969377333333332,3_1,150
0.29766456666666696,3_1,150
0.2983553666666664,3_1,150
0.2989723000000002,3_1,150
0.29955089999999995,3_1,150
0.3000427666666664,3_1,150
0.3004869666666667,3_1,150
0.3008348666666669,3_1,150
0.3011335666666664,3_1,150
0.30129176666666657,3_1,150
0.30135513333333325,3_1,150
0.30135579999999984,3_1,150
0.0099902749999998,3_1,200
0.019905924999999602,3_1,200
0.029208700000000302,3_1,200
0.038224899999999395,3_1,200
0.04636554999999955,3_1,200
0.0542743750000004,3_1,200
0.06160662500000015,3_1,200
0.06872119999999915,3_1,200
0.0752780000000011,3_1,200
0.08167942499999975,3_1,200
0.08766947499999975,3_1,200
0.09351500000000029,3_1,200
0.0990250749999997,3_1,200
0.10443747500000025,3_1,200
0.10953180000000065,3_1,200
0.11451749999999894,3_1,200
0.1192602750000005,3_1,200
0.1239328000000011,3_1,200
0.12834784999999926,3_1,200
0.1326962000000006,3_1,200
0.1368282999999994,3_1,200
0.1408935499999998,3_1,200
0.1447834,3_1,200
0.14861604999999978,3_1,200
0.15230674999999994,3_1,200
0.15593937499999994,3_1,200
0.15943652500000016,3_1,200
0.16289002500000033,3_1,200
0.16622119999999996,3_1,200
0.1695014000000004,3_1,200
0.1726668500000001,3_1,200
0.1757883249999993,3_1,200
0.17880340000000033,3_1,200
0.18178127500000035,3_1,200
0.1846322749999994,3_1,200
0.18744900000000075,3_1,200
0.19020785000000034,3_1,200
0.1929501749999999,3_1,200
0.19560144999999965,3_1,200
0.19821450000000035,3_1,200
0.2007257249999998,3_1,200
0.2032136999999996,3_1,200
0.20565060000000024,3_1,200
0.20806057500000008,3_1,200
0.21039749999999974,3_1,200
0.21269742500000025,3_1,200
0.2149237000000001,3_1,200
0.21712774999999973,3_1,200
0.21926392500000014,3_1,200
0.221377725,3_1,200
0.2234165500000002,3_1,200
0.22543925000000004,3_1,200
0.22740605,3_1,200
0.22936009999999968,3_1,200
0.23127610000000004,3_1,200
0.23315575,3_1,200
0.2349838000000002,3_1,200
0.2367745500000002,3_1,200
0.23852232500000004,3_1,200
0.24025007500000017,3_1,200
0.2419288499999999,3_1,200
0.24358472500000036,3_1,200
0.24518954999999995,3_1,200
0.2467668,3_1,200
0.24830262500000036,3_1,200
0.24982532499999988,3_1,200
0.25128759999999983,3_1,200
0.25273429999999997,3_1,200
0.25412335000000025,3_1,200
0.2554985000000004,3_1,200
0.25681647500000004,3_1,200
0.25811822500000003,3_1,200
0.2593679000000001,3_1,200
0.26060059999999985,3_1,200
0.2617823500000001,3_1,200
0.26295435000000006,3_1,200
0.2640758750000002,3_1,200
0.26518462500000006,3_1,200
0.26624732500000015,3_1,200
0.2672940999999998,3_1,200
0.26829410000000015,3_1,200
0.2692780000000002,3_1,200
0.2702066500000001,3_1,200
0.27111409999999997,3_1,200
0.27196787500000014,3_1,200
0.27280519999999997,3_1,200
0.27358994999999964,3_1,200
0.2743544500000002,3_1,200
0.27505129999999994,3_1,200
0.2757284750000002,3_1,200
0.27633265000000007,3_1,200
0.2769104999999997,3_1,200
0.2774132,3_1,200
0.2778890500000001,3_1,200
0.27827887500000037,3_1,200
0.278635375,3_1,200
0.27888575,3_1,200
0.2790944249999999,3_1,200
0.2791382250000001,3_1,200
0.27914757500000015,3_1,200
